California condor
Calonectris
Campylorhynchus
Canvasback
Cape May warbler
Cape batis
Cape longclaw
Cape robin-chat
Cape spurfowl
Cape wagtail
Cape white-eye
Cardinalids
Caribbean dove
Caribbean elaenia
Carpentarian grasswren
Carrion crow
Castorocauda
Ambon white-eye
American black duck
American dipper
American golden plover
Amethyst-throated Mountain-gem
Amethyst-throated sunangel
Amethyst woodstar
Amsterdam wigeon
Bay antpitta
Bay coucal
Bay hornero
Bean goose
Bearded bellbird
Bearded guan
Bearded helmetcrest
Bearded mountaineer
Bearded wood partridge
Beaudouin's snake eagle
Beautiful sheartail
Beautiful treerunner
Pachyramphus
Belding's yellowthroat
Belford's melidectes
Bell's vireo
Bell miner
Belted flycatcher
Poo-uli
Pronghorn
Príncipe white-eye
Pternistis
Puerto Rican amazon
Purple-breasted cotinga
Purple-throated carib
Purple-throated cotinga
Purple-throated mountaingem
Purple finch
Rock bush quail
Rock thrushes
Rodrigues solitaire
Rose-breasted grosbeak
Roseate spoonbill
Ruby-throated hummingbird
Ruddy-breasted crake
Ruffed grouse
Rufous-capped warbler
Rufous-lored tyrannulet
Rufous fantail
Rufous hummingbird
Rufous vanga
Samoan triller
Samoan whistler
Sand martin / Bank swallow
Sandhill crane
Sarus crane
Satyr tragopan
Savile's bustard
Sayaca tanager
Sazavis
Scaly-breasted munia
Scaniacypselus
Scarlet-backed flowerpecker
Scarlet-breasted fruiteater
Scarlet macaw
Scarlet myzomela
Scissor-tailed kite
Elegant crescentchest
Elegant euphonia
Elegant imperial pigeon
Elegant pitta
Elegant quail
Elegant woodcreeper
Elfin woods warbler
Elgon francolin
Enicognathus
Micronesian imperial pigeon
Micronesian megapode
Micronesian myzomela
Mikado pheasant
Minas Gerais tyrannulet
Mindoro bleeding-heart
Mitu
Mockingbird
Monk parakeet
Murphy's petrel
Musk lorikeet
Myna
Lühder's bushshrike
MacGregor's honeyeater
Mekong wagtail
Melampitta
Melanesian kingfisher
Melaniparus
Melanodera
Melanodryas
Melanotis
Melipotes
Mellisuga
Melodious lark
Men-of-War: Life in Nelson's Navy
Metallic starling
Mexican duck
Mexican jay
Mexican sheartail
Mexican whip-poor-will
Mexican woodnymph
Montane foliage-gleaner
Montane racket-tail
Montane widowbird
Monte yellow finch
Montezuma quail
Moorea reed warbler
Moorland chat
Moreno's ground dove
Morepork
Moriche oriole
Pygmy falcons
Pygmy bushtit
Red-bellied fruit dove
Robin accentor
Serra antwren
Siberian grouse
Slaty-backed jungle flycatcher
Tourmaline sunangel
Wallace's owlet-nightjar
White-bridled finch
White-browed robin
White-tufted grebe
Zanzibar red bishop
Onychoprion
Opal-crowned manakin
Opal-crowned tanager
Parker's spinetail
Parrotfinches
Parrotlet
Partridge pigeon
Patagonian canastero
Patagonian forest earthcreeper
Patagonian tyrant
Pseudotriccus
Short-billed leaftosser
Spotted wood quail
Sulawesi myzomela
Takin
Timor green pigeon
West Peruvian screech owl
White-cheeked cotinga
White-lined antbird
White-tailed cotinga
Xipholena
Yellow-browed antbird
Preuss's weaver
Reddish scops owl
Restinga tyrannulet
Ruddy crake
Rufous-capped thornbill
Rufous-throated dipper
Sclater's whistler
Sira tanager
Striated thornbill
Striped woodpecker
Violet-throated starfrontlet
White-browed chat-tyrant
White-eyed slaty flycatcher
White-throated francolin
Yellow-legged flyrobin
Yellow cardinal
Yellowish flycatcher
Yucatan flycatcher
Pringle's puffback
Prions
Prionochilus
Preuss's cliff swallow
Rufous-faced crake
Silvery pigeon
Singing honeyeater
Blue-grey robin
Spotless crake
Stone partridge
Strong-billed honeyeater
Taiwan barbet
Thick-billed heleia
Vanikoro flycatcher
Venezuelan wood quail
Western fieldwren
White-bellied cuckooshrike
Yellow-eared toucanet
Yellow-throated vireo
Yellow-vented green pigeon
Zimmer's tapaculo
Bare-necked fruitcrow
Barred antshrike
Barred rail
Barred wren-warbler
Bat hawk
Bay-breasted warbler
Baya weaver
Bearded vulture
Belted kingfisher
Bewick's wren
Bighorn sheep
Black-and-orange flycatcher
Black-and-red broadbill
Black-and-rufous warbling finch
Black-and-white mannikin
Black-and-white warbler
Black-and-yellow broadbill
Black-bellied bustard
Black-bellied sandgrouse
Black-bellied whistling duck
Black-bibbed monarch
Black-billed amazon
Black-billed flycatcher
Black-billed scythebill
Black-breasted buzzard
Black-capped donacobius
Black-capped lory
Black-capped speirops
Black-chinned hummingbird
Black-crested antshrike
Black-crowned tanager
Black-crowned tchagra
Black-faced grassquit
Black-faced munia
Black-headed canary
Black-backed weaver
Black-naped monarch
Black-sided flowerpecker
Black-tailed monarch
Black-throated accentor
Black-throated blue warbler
Black-throated gray warbler
Black-throated green warbler
Black-throated thistletail
Black bishop
Black crowned crane
Black cuckooshrike
Black drongo
Black francolin
Black kite
Black mannikin
Black monarch
Black pitohui
Black redstart
Black rosy finch
Blackburnian warbler
Blackpoll warbler
Blue-and-yellow macaw
Blue-backed manakin
Blue-eyed ground dove
Blue-faced honeyeater
Blue-headed parrot
Blue-mantled crested flycatcher
Blue-spotted wood dove
Blue-winged pitta
Blue-winged teal
Blue coua
Blue nuthatch
Blyth's reed warbler
Boat-billed flycatcher
Bobolink
Bohaiornis
Bohemian waxwing
Bokikokiko
Bokmakierie
Booby
Booted warbler
Bougainville monarch
Brambling
Brazilian tanager
Break It Yourself
Brewer's blackbird
Allen's gallinule
Allpahuayo antbird
Anjouan brush warblers
Anjouan sunbird
Ant-eating chat
Anteater chat
Mangos
Antillean palm swift
Antillean siskin
Antioquia bristle tyrant
Antioquia wren
Antpeckers
Ants'hillvania
Apalises
Apical flycatcher
Apolinar's wren
Apostlebird
Apurímac spinetail
Arabian golden-winged grosbeak
Arabian partridge
Arabian serin
Aramides
Araucaria tit-spinetail
Archbold's newtonia
Archer's ground robin
Archilochus
Arfak honeyeater
Hoatzin
Honda CB350
Hooded merganser
Hooded monarch
Hooded visorbearer
Hooded warbler
Hook-billed vanga
Hoopoe
Houbara bustard
House sparrow
Berthelot's pipit
Bertoni's antbird
Berylline hummingbird
Biak black flycatcher
Biak scops owl
Biak scrubfowl
Biak white-eye
Little chachalaca
Little swift
Pelican
Restless flycatcher
Ring-necked duck
River warbler
Cuckoo-finch
Cundinamarca antpitta
Curl-crested jay
Curve-billed scythebill
Curve-billed thrasher
Cyanocitta
Cyclopsitta
Cyornis
D'Orbigny's chat-tyrant
Buff-bellied puffbird
Upcher's warbler
Upland moa
Variegated fairywren
Vegavis
Velvet scoter
Vervain hummingbird
Violaceous euphonia
Violaceous jay
Virginia's warbler
Akiapōlāau
Ākohekohe
Apapane
Ula-ai-hāwane
Ōū
Des Murs's wiretail
Desert cisticola
Desert finch
Domestic duck
Domestic goose
Domestic pigeon
Dominican green-and-yellow macaw
Doria's goshawk
Doricha
Dorst's cisticola
Doryfera
Dot-backed antbird
Dot-winged antwren
Dot-winged crake
Dotted tanager
Double-banded greytail
Double-banded pygmy tyrant
Double-collared seedeater
Dugand's antwren
Duida woodcreeper
Duivenbode's riflebird
Dull-blue flycatcher
Dusky-backed jacamar
Dusky-blue flycatcher
Dusky-capped flycatcher
Dusky-capped greenlet
Dusky-chested flycatcher
Dusky-faced tanager
Dusky-legged guan
Dusky-tailed antbird
Dusky-tailed canastero
Dusky-tailed flatbill
Dusky-throated antshrike
Dusky antbird
Dusky broadbill
Dusky bush tanager
Dusky crested flycatcher
Dusky gerygone
Dusky grasswren
Dusky grouse
Dusky hummingbird
Dusky indigobird
Dusky megapode
Dusky munia
Dusky myzomela
Dusky pigeon
Dusky piha
Dusky robin
Dusky spinetail
Dusky tapaculo
Dusky turtle dove
Dusky twinspot
Dusky white-eye
Dwarf fruit dove
Dwarf jay
Dwarf koel
Dwarf sparrowhawk
Dwarf tyrant-manakin
Dwarf vireo
Eared pitta
Eared pygmy tyrant
East Andean antbird
East Brazilian chachalaca
East Coast boubou
East coast akalat
Eastern bluebonnet
Eastern bristlebird
Eastern bronze-naped pigeon
Eastern chanting goshawk
Eastern chat-tanager
Eastern golden weaver
Eastern nicator
Persian nuthatch
happy halloween
Eastern wattled cuckooshrike
Eastern whipbird
Eastern yellow wagtail
Inambari woodcreeper
Inca flycatcher
Inca wren
Indian Ocean kestrels
Indian blue robin
Indian golden oriole
Indian nuthatch
Indian pond heron
Indian spotted creeper
Indian swiftlet
Indigo flowerpiercer
Indigo flycatcher
Indochinese cuckooshrike
Indochinese yuhina
Inland Thornbill
Ivory-backed woodswallow
Ivory-billed aracari
Ivory-billed woodcreeper
Ivory-billed woodpecker
Ivory-breasted pitta
Jamaican becard
Jamaican blackbird
Jamaican elaenia
Jamaican mango
Jamaican pewee
Jamaican vireo
Jameson's wattle-eye
Johannes's tody-tyrant
Kākāriki
Kākāwahie
Lesser masked weaver
Long-tailed sylph
Ludwig's bustard
Magellanic penguin
Masked flowerpiercer
Moluccan dwarf kingfisher
New Zealand fantail
Northern bald ibis
Old World Quail
Olivaceous flatbill
Olive-headed lorikeet
Orange-banded flycatcher
Orange-eared tanager
Oriental pied hornbill
Long-tailed cuckoo
Pale-mandibled aracari
Pale chanting goshawk
Parrot crossbill
Partridge
Peruvian antpitta
Philippine magpie-robin
Pied triller
Pinyon jay
Red-collared lorikeet
Red-crested turaco
Red-necked spurfowl
Red-tailed black cockatoo
Red-winged fairywren
Rock partridge
Rock wren
Ruby-topaz hummingbird
Rufous-breasted antthrush
Rufous hornero
Rusty-margined guan
Réunion grey white-eye
Rüppell's korhaan
Satin bowerbird
Scaly-sided merganser
Schalow's turaco
Sedge wren
Semicollared flycatcher
Serinus
Seychelles magpie-robin
Short-tailed shearwater,
Slender-billed shearwater
Short-toed rock thrush
Sinai rosefinch
Sind sparrow
Slaty-capped flycatcher
Snowy-crowned robin-chat
Sooty grouse
Southern nightingale-wren
Speckled hummingbird
Speckled pigeon
Spix's guan
Spotted sandgrouse
Lettered aracari
Levaillant's cisticola
Levaillant's cuckoo
Lewin's honeyeater
Lewin's rail
Lichmera
Lichtenstein's sandgrouse
Light-crowned spinetail
Light-mantled albatross
Lilac-crowned amazon
Lilac-tailed parrotlet
Lilacine amazon
Olive-flanked ground robin
Painted spurfowl
Paramo ground tyrant
Rosy-throated longclaw
Rufous-crowned elaenia
Sulawesi cuckoo
Sunda blue flycatcher
Swamp boubou
Timor stubtail
African terrestrial barbets
Varzea schiffornis
White-backed woodpecker
White-eared parakeet
Yellow-rumped thornbill
Yellowish pipit
Nubian bustard
Nullarbor quail-thrush
Nuthatch vanga
Patagonian yellow finch
Peaceful dove
Pheasant cuckoo
Red-moustached fruit dove
Spotted fantail
Stout-billed cuckooshrike
Timneh parrot
Tui parakeet
White-breasted tapaculo
White-throated treecreeper
Yellow-breasted tailorbird
Plain gerygone
Red-rumped wheatear
Red-throated parrotfinch
Royal cinclodes
Scaly-throated leaftosser
Somali pigeon
Tit-like dacnis
Tree warblers
Veraguan mango
White-tailed hummingbird
Paycheck Fairness Act
Peach-fronted parakeet
Pearl-bellied white-eye
Pearly-bellied seedeater
Pearly-breasted cuckoo
Pectoral-patch cisticola
Pelzeln's tody-tyrant
Poukai
Predicted antwren
Pulitzer's longbill
Rockwarbler
Seychelles blue pigeon
Sumatran leafbird
White-browed warbler
Yellow-bellied elaenia
Pygmy batis
Ringed warbling finch
Scribble-tailed canastero
Stripe-tailed yellow finch
Przevalski's finch
Przevalski's parrotbill
Przevalski's redstart
Príncipe speirops
Príncipe weaver
Pteroptochos
Ptilotula
Puerto Rican bullfinch
Puerto Rican tanager
Puerto Rican tody
Puerto Rican vireo
Puffbirds and allies
Pufflegs
White-eared honeyeater
Silver-throated bushtit
White-naped xenopsaris
North Island brown kiwi
North Island kōkako
North Melanesian cuckooshrike
Northern bentbill
Northern black flycatcher
Northern black korhaan
Northern boobook
Northern brown-throated weaver
Northern crombec
Northern fantail
Northern potoo
Northern schiffornis
Northern scrub flycatcher
Northern scrub robin
Nothoprocta
Peruvian recurvebill
Philippine swamphen
Piprites
Red-crowned amazon
Reiser's tyrannulet
Rudd's apalis
Rufous-browed conebill
Sahel paradise whydah
Salvadori's seedeater
Seychelles paradise flycatcher
